ACCX, ACCY, ACCZ, PITCH, ROLL, YAW
0.000003, 0.000004, 0.000002, 0.000044, 0.000028, 0.000004
0.000001, 0.000002, 0.000003, 0.000029, 0.000099, 0.000049
0.000003, 0.000016, 0.000006, 0.000293, 0.000726, 0.000027
0.000108, 0.001827, 0.000007, 0.000285, 0.000643, 0.001615
0.000654, 0.002756, 0.000006, 0.000605, 0.000541, 0.035969
0.005677, 0.003526, 0.000006, 0.003732, 0.002067, 0.039070
0.003563, 0.002818, 0.000005, 0.001762, 0.000373, 0.022983
0.000520, 0.001073, 0.000018, 0.000762, 0.000077, 0.020486
0.000036, 0.000840, 0.000008, 0.002234, 0.000885, 0.008303
0.000003, 0.000003, 0.000011, 0.000007, 0.000017, 0.000009
0.000007, 0.000001, 0.000019, 0.000015, 0.000011, 0.000037
0.000002, 0.000006, 0.000006, 0.000045, 0.000104, 0.000030
0.000002, 0.000007, 0.000002, 0.000062, 0.000103, 0.000029
0.000004, 0.000001, 0.000018, 0.000012, 0.000009, 0.000004
0.000006, 0.000004, 0.000002, 0.000027, 0.000051, 0.000023
0.000005, 0.000006, 0.000005, 0.000026, 0.000054, 0.000001
0.000002, 0.000004, 0.000009, 0.000007, 0.000011, 0.000066
0.000006, 0.000005, 0.000002, 0.000025, 0.000081, 0.000013
0.000008, 0.000003, 0.000005, 0.000028, 0.000056, 0.000013
0.000785, 0.009552, 0.000007, 0.000620, 0.000417, 0.010002
0.009389, 0.001174, 0.000022, 0.001499, 0.000609, 0.017546
0.003391, 0.004624, 0.000006, 0.002406, 0.003654, 0.014235
0.000346, 0.002149, 0.000007, 0.000972, 0.003544, 0.037270
0.000956, 0.015594, 0.000020, 0.001882, 0.001463, 0.010321
0.000002, 0.000006, 0.000008, 0.000034, 0.000074, 0.000020
0.000004, 0.000003, 0.000005, 0.000012, 0.000006, 0.000024
0.000005, 0.000006, 0.000018, 0.000015, 0.000055, 0.000004
0.000003, 0.000003, 0.000008, 0.000005, 0.000031, 0.000028
0.000008, 0.000002, 0.000006, 0.000003, 0.000026, 0.000045
0.000003, 0.000002, 0.000012, 0.000007, 0.000013, 0.000025
0.000004, 0.000005, 0.000007, 0.000049, 0.000097, 0.000006
0.000005, 0.000002, 0.000003, 0.000017, 0.000012, 0.000029
0.000002, 0.000002, 0.000011, 0.000011, 0.000056, 0.000021
0.000011, 0.000029, 0.000028, 0.000161, 0.000045, 0.000267
0.000004, 0.000007, 0.000020, 0.000045, 0.000038, 0.000008
0.002587, 0.000081, 0.000009, 0.000131, 0.000076, 0.003740
0.001154, 0.000214, 0.000556, 0.000911, 0.002445, 0.006935
0.001710, 0.000310, 0.000009, 0.000828, 0.015604, 0.020154
0.005249, 0.000666, 0.000002, 0.000401, 0.005225, 0.089070
0.004286, 0.000104, 0.000018, 0.001722, 0.002328, 0.004229
0.000003, 0.000004, 0.000001, 0.000011, 0.000077, 0.000030
0.000009, 0.000001, 0.000012, 0.000019, 0.000055, 0.000016
0.000003, 0.000005, 0.000004, 0.000040, 0.000052, 0.000006
0.000006, 0.000007, 0.000001, 0.000011, 0.000031, 0.000014
0.000002, 0.000005, 0.000006, 0.000014, 0.000004, 0.000032
0.000006, 0.000003, 0.000005, 0.000037, 0.000017, 0.000013
0.000002, 0.000001, 0.000005, 0.000019, 0.000084, 0.000030
0.000003, 0.000003, 0.000007, 0.000040, 0.000031, 0.000024
0.000498, 0.000021, 0.000012, 0.000398, 0.000395, 0.000100
0.002242, 0.000340, 0.000100, 0.000204, 0.001151, 0.008336
0.000407, 0.000553, 0.000006, 0.001127, 0.010059, 0.002731
0.001294, 0.000332, 0.000007, 0.000484, 0.014872, 0.004860
0.001298, 0.000522, 0.000006, 0.000231, 0.007809, 0.003634
0.001349, 0.000537, 0.000002, 0.000203, 0.000459, 0.004392
0.003744, 0.001851, 0.000017, 0.000253, 0.002274, 0.001540
0.000002, 0.000004, 0.000024, 0.000031, 0.000050, 0.000035
0.000001, 0.000003, 0.000011, 0.000046, 0.000024, 0.000030
0.000004, 0.000001, 0.000010, 0.000013, 0.000055, 0.000026
0.000001, 0.000002, 0.000001, 0.000029, 0.000008, 0.000044
0.000007, 0.000002, 0.000021, 0.000018, 0.000019, 0.000015
0.000002, 0.000001, 0.000006, 0.000016, 0.000023, 0.000031
0.000004, 0.000002, 0.000011, 0.000009, 0.000042, 0.000039
0.000005, 0.000008, 0.000004, 0.000034, 0.000013, 0.000016
0.000010, 0.000053, 0.000056, 0.000501, 0.000523, 0.000047
0.002925, 0.001632, 0.015088, 0.007635, 0.007254, 0.010449
0.002503, 0.001827, 0.006727, 0.033182, 0.032099, 0.083232
0.001430, 0.005333, 0.013680, 0.011199, 0.116443, 0.075843
0.000433, 0.000136, 0.003087, 0.023187, 0.040560, 0.021404
0.000255, 0.000140, 0.000289, 0.001144, 0.002829, 0.002131
0.000013, 0.000018, 0.000079, 0.001618, 0.000391, 0.000339
0.000127, 0.000065, 0.000116, 0.000675, 0.002697, 0.000182
0.000031, 0.000042, 0.000148, 0.001168, 0.000944, 0.001233
0.000099, 0.000083, 0.000036, 0.000705, 0.000260, 0.000840
0.000283, 0.000009, 0.000183, 0.001149, 0.001123, 0.000391
0.000261, 0.000006, 0.000119, 0.002019, 0.000277, 0.001570
0.000091, 0.000069, 0.000167, 0.001040, 0.001239, 0.000434
0.000125, 0.000337, 0.003291, 0.070593, 0.001875, 0.001008
0.000741, 0.001578, 0.003656, 0.006218, 0.009758, 0.004905
0.001016, 0.000782, 0.001758, 0.001287, 0.035261, 0.005418
0.004049, 0.001285, 0.000970, 0.009084, 0.003355, 0.024185
0.000839, 0.000362, 0.000639, 0.014727, 0.003030, 0.016281
0.001583, 0.001150, 0.000989, 0.002297, 0.024150, 0.002043
0.000041, 0.000082, 0.000016, 0.000290, 0.000274, 0.000272
0.000003, 0.000003, 0.000004, 0.000026, 0.000029, 0.000004
0.000004, 0.000003, 0.000015, 0.000038, 0.000030, 0.000009
0.000002, 0.000013, 0.000007, 0.000056, 0.000023, 0.000024
0.000004, 0.000004, 0.000004, 0.000041, 0.000055, 0.000019
0.000004, 0.000004, 0.000008, 0.000027, 0.000010, 0.000031
0.000011, 0.000003, 0.000005, 0.000032, 0.000050, 0.000030
0.000002, 0.000008, 0.000002, 0.000076, 0.000005, 0.000022
0.000004, 0.000004, 0.000003, 0.000032, 0.000008, 0.000007
0.000001, 0.000002, 0.000005, 0.000019, 0.000038, 0.000012
0.000002, 0.000005, 0.000003, 0.000016, 0.000021, 0.000019
0.000008, 0.000001, 0.000004, 0.000007, 0.000102, 0.000034
0.000006, 0.000003, 0.000005, 0.000036, 0.000191, 0.000026
0.000006, 0.000006, 0.000009, 0.000006, 0.000042, 0.000025
0.000003, 0.000005, 0.000013, 0.000053, 0.000030, 0.000032
0.000001, 0.000003, 0.000003, 0.000022, 0.000029, 0.000018
0.000006, 0.000001, 0.000006, 0.000025, 0.000009, 0.000044
0.000006, 0.000003, 0.000003, 0.000014, 0.000061, 0.000016
0.000005, 0.000004, 0.000010, 0.000021, 0.000031, 0.000037
0.000009, 0.000004, 0.000003, 0.000078, 0.000076, 0.000010
0.000009, 0.000004, 0.000021, 0.000016, 0.000056, 0.000026
0.000030, 0.000010, 0.000005, 0.000048, 0.000171, 0.000026
0.001307, 0.000168, 0.000014, 0.000193, 0.002549, 0.031818
0.002521, 0.000550, 0.000248, 0.000207, 0.001873, 0.034842
0.002964, 0.001189, 0.000969, 0.000444, 0.000791, 0.022831
0.010135, 0.001259, 0.000647, 0.001145, 0.004231, 0.099667
0.001870, 0.000911, 0.000168, 0.000180, 0.000385, 0.008057
0.001481, 0.000448, 0.000061, 0.000156, 0.002006, 0.057955
0.002126, 0.001144, 0.000024, 0.000066, 0.000312, 0.024991
0.000496, 0.000743, 0.000014, 0.000126, 0.000697, 0.012854
0.000227, 0.000082, 0.000782, 0.000189, 0.002294, 0.000471
0.000001, 0.000006, 0.000008, 0.000039, 0.000040, 0.000016
0.000004, 0.000009, 0.000009, 0.000011, 0.000033, 0.000025
0.000001, 0.000003, 0.000010, 0.000007, 0.000048, 0.000019
0.000001, 0.000005, 0.000008, 0.000029, 0.000038, 0.000016
0.000003, 0.000005, 0.000007, 0.000016, 0.000063, 0.000024
0.000016, 0.000003, 0.000017, 0.000024, 0.000029, 0.000024
0.000001, 0.000003, 0.000009, 0.000021, 0.000021, 0.000017
0.000003, 0.000007, 0.000009, 0.000048, 0.000035, 0.000031
0.000001, 0.000002, 0.000006, 0.000011, 0.000058, 0.000058
0.000002, 0.000005, 0.000007, 0.000029, 0.000017, 0.000011
0.000012, 0.000005, 0.000012, 0.000059, 0.000051, 0.000006
0.000184, 0.000026, 0.000004, 0.000054, 0.000405, 0.008958
0.002267, 0.000460, 0.000121, 0.000281, 0.002063, 0.161812
0.002822, 0.000021, 0.000114, 0.000188, 0.003027, 0.013137
0.001495, 0.000626, 0.000181, 0.001033, 0.001635, 0.085025
0.000383, 0.000549, 0.000035, 0.000119, 0.000425, 0.031654
0.000259, 0.000089, 0.000085, 0.000077, 0.001497, 0.034380
0.000010, 0.000004, 0.000012, 0.000034, 0.000150, 0.000050
0.000004, 0.000003, 0.000009, 0.000089, 0.000064, 0.000015
0.000006, 0.000004, 0.000003, 0.000066, 0.000029, 0.000025
0.000009, 0.000008, 0.000004, 0.000014, 0.000013, 0.000010
0.000004, 0.000001, 0.000005, 0.000008, 0.000019, 0.000046
0.000005, 0.000003, 0.000010, 0.000008, 0.000026, 0.000016
0.000010, 0.000009, 0.000004, 0.000029, 0.000025, 0.000016
0.000005, 0.000003, 0.000003, 0.000019, 0.000017, 0.000043
0.000003, 0.000003, 0.000013, 0.000031, 0.000034, 0.000025
0.000001, 0.000006, 0.000020, 0.000005, 0.000074, 0.000018
0.000009, 0.000001, 0.000003, 0.000012, 0.000059, 0.000002
0.000010, 0.000004, 0.000019, 0.000053, 0.000027, 0.000010
0.000007, 0.000015, 0.000011, 0.000053, 0.000406, 0.000017
0.000710, 0.001291, 0.000484, 0.080706, 0.014019, 0.000990
0.003934, 0.013578, 0.004451, 0.143082, 0.014017, 0.008147
0.001264, 0.017835, 0.020943, 0.034922, 0.006159, 0.005946
0.000833, 0.000612, 0.007393, 0.158211, 0.009116, 0.006367
0.001294, 0.000074, 0.007132, 0.010759, 0.001776, 0.000814
0.000702, 0.000132, 0.001138, 0.036751, 0.001000, 0.005924
0.000170, 0.000030, 0.000109, 0.002265, 0.000086, 0.001157
0.000097, 0.000022, 0.000100, 0.000433, 0.000061, 0.001223
0.000065, 0.000026, 0.000185, 0.000768, 0.000018, 0.000154
0.000035, 0.000014, 0.000251, 0.003280, 0.000024, 0.000325
0.000058, 0.000010, 0.000068, 0.002289, 0.000065, 0.000105
0.000047, 0.000020, 0.000324, 0.004149, 0.000055, 0.000326
0.000125, 0.000017, 0.000213, 0.002946, 0.000030, 0.000427
0.000083, 0.000020, 0.000151, 0.001047, 0.000040, 0.000348
0.000064, 0.000022, 0.000187, 0.002165, 0.000016, 0.000190
0.000026, 0.000010, 0.000161, 0.001239, 0.000098, 0.000045
0.000115, 0.000018, 0.000185, 0.000999, 0.000014, 0.000490
0.000190, 0.000029, 0.000877, 0.059951, 0.000127, 0.002151
0.000224, 0.000193, 0.002356, 0.009808, 0.000426, 0.001727
0.000263, 0.006407, 0.014834, 0.045604, 0.006287, 0.003803
0.000214, 0.016821, 0.009370, 0.025323, 0.002412, 0.011518
0.000703, 0.004458, 0.000478, 0.064635, 0.000407, 0.005458
0.001441, 0.000133, 0.001471, 0.026544, 0.009191, 0.029881
0.000026, 0.000003, 0.000030, 0.000450, 0.001437, 0.000649
0.000008, 0.000002, 0.000002, 0.000033, 0.000090, 0.000032
0.000002, 0.000003, 0.000016, 0.000009, 0.000016, 0.000015
0.000004, 0.000007, 0.000010, 0.000020, 0.000015, 0.000016
0.000005, 0.000006, 0.000007, 0.000014, 0.000051, 0.000040
0.000005, 0.000002, 0.000036, 0.000054, 0.000027, 0.000023
0.000005, 0.000002, 0.000005, 0.000003, 0.000033, 0.000014
0.000001, 0.000006, 0.000019, 0.000025, 0.000016, 0.000018
0.000002, 0.000001, 0.000007, 0.000007, 0.000051, 0.000039
0.000004, 0.000007, 0.000000, 0.000015, 0.000057, 0.000012
0.000049, 0.000029, 0.000022, 0.000056, 0.000891, 0.003709
0.000525, 0.000008, 0.000051, 0.000622, 0.025917, 0.005036
0.037856, 0.000497, 0.006529, 0.009600, 0.306795, 0.028111
0.007035, 0.000262, 0.012352, 0.006542, 0.105043, 0.024982
0.002004, 0.000062, 0.043193, 0.013741, 0.169853, 0.002700
0.000084, 0.000168, 0.000494, 0.003903, 0.141040, 0.000620
0.000006, 0.000005, 0.000024, 0.000026, 0.003163, 0.000074
0.000007, 0.000003, 0.000004, 0.000060, 0.000503, 0.000060
0.000005, 0.000002, 0.000013, 0.000012, 0.000557, 0.000027
0.000005, 0.000007, 0.000005, 0.000039, 0.000546, 0.000031
0.000006, 0.000006, 0.000040, 0.000283, 0.004071, 0.000031
0.000011, 0.000002, 0.000003, 0.000043, 0.000830, 0.000015
0.000013, 0.000006, 0.000005, 0.000016, 0.000116, 0.000032
0.000006, 0.000002, 0.000015, 0.000022, 0.000216, 0.000020
0.000007, 0.000004, 0.000005, 0.000019, 0.000195, 0.000031
0.000014, 0.000006, 0.000012, 0.000017, 0.001042, 0.000042
0.000008, 0.000013, 0.000016, 0.000039, 0.001147, 0.000113
0.000005, 0.000008, 0.000010, 0.000082, 0.001713, 0.000032
0.000020, 0.000008, 0.003576, 0.008613, 0.071467, 0.000152
0.001523, 0.000060, 0.017075, 0.000250, 0.088819, 0.000916
0.004462, 0.000036, 0.003705, 0.001077, 0.148922, 0.000187
0.035144, 0.000771, 0.009440, 0.001718, 0.112628, 0.003010
0.003114, 0.000343, 0.004517, 0.006646, 0.705982, 0.018757
0.000010, 0.000002, 0.000017, 0.000052, 0.000026, 0.000049
0.000008, 0.000002, 0.000005, 0.000012, 0.000044, 0.000006
0.000002, 0.000001, 0.000003, 0.000025, 0.000045, 0.000015
0.000003, 0.000006, 0.000003, 0.000011, 0.000006, 0.000028
0.000005, 0.000003, 0.000012, 0.000028, 0.000035, 0.000023
0.000003, 0.000001, 0.000006, 0.000010, 0.000050, 0.000011
0.000006, 0.000003, 0.000009, 0.000032, 0.000087, 0.000020
0.000004, 0.000002, 0.000010, 0.000007, 0.000079, 0.000038
0.000003, 0.000009, 0.000006, 0.000012, 0.000028, 0.000018
0.000657, 0.000021, 1.998177, 0.000012, 0.000004, 0.000104
